,Unnamed: 0,Year,Month,Day,Hour,Minute,Second,Lat,Lon,Depth,Seismotectonic unit,Unit no.,mb,Ms,MN,ML,Mw (reported),Mw (estimated),Mw,Location Ref.,mb Ref.,Ms Ref.,MN Ref.,ML Ref.,Mw Ref. (reported),Mw Ref. (estimated),Assumed_uncertainty of Mw,1 Standard deviatoion for converted Mw,Unnamed: 27,References
9008,1485,1973,9,27,2,27,20,32.71,48.19,15,Zagros,5,4.6,4.1,,,5.1,,5.1,ISC-GEM,ISC,ISC,,,ISC-GEM,,0.2,,,
9009,1491,1973,11,2,5,46,36,32.63,48.18,15,Zagros,5,4.7,4.2,,,5.2,,5.2,ISC-EHB,ISC,ISC,,,ISC-GEM,,0.2,,,
9010,1772,1977,6,5,4,45,7.6,32.62,48.08,12,Zagros,5,5.5,5.8,,,6.1,,6.1,ISC-EHB,ISC,ISC,,,GCMT,,0.2,,,
9011,2300,1982,4,25,15,5,54,32.64,48.06,33,Zagros,5,4.5,4,,,,4.6,4.6,ISC,ISC,M2014,,,,Equation(3),,0.1739,,
9012,2877,1987,11,9,16,43,42,32.89,47.91,15,Zagros,5,4.7,4.5,,,,4.8,4.8,ISC-EHB,ISC,ISC,,,,Equation(3),,0.174,,
9013,2878,1987,11,9,17,10,59,32.72,48.1,37,Zagros,5,4.2,3.5,,,,4.2,4.2,ISC,ISC,M2014,,,,Equation(3),,0.1738,,
9014,3109,1989,12,27,14,31,31,32.73,47.95,15,Zagros,5,4.6,4.1,,,,4.7,4.7,ISC-EHB,ISC,M2014,,,,Equation(3),,0.1739,,
9015,3170,1990,7,24,17,59,51,32.83,48.21,20,Zagros,5,5.3,4.7,,,,5.5,5.5,ISC-EHB,ISC,ISC,,,,Equation(3),,0.1749,,
9016,3437,1992,11,2,16,20,8,32.7,48.1,89,Zagros,5,4.3,3.7,,,,4.3,4.3,ISC,ISC,M2014,,,,Equation(3),,0.1738,,
9017,3873,1996,7,16,8,40,49,32.88,47.92,64,Zagros,5,4.3,3.7,3.8,,,4.3,4.3,ISC,ISC,M2014,IRSC,,,Equation(3),,0.1738,,
9018,3887,1996,8,25,0,53,11,32.64,48.03,15,Zagros,5,4.3,3.7,3.7,,,4.3,4.3,ISC-EHB,ISC,M2014,IRSC,,,Equation(3),,0.1738,,
9019,4071,1997,11,18,7,14,41,32.77,47.99,33,Zagros,5,4.2,3.5,,,,4.2,4.2,ISC,ISC,M2014,,,,Equation(3),,0.1738,,
9020,4228,1998,12,1,22,42,37,32.61,48.13,33,Zagros,5,4.2,3.5,4,,,4.2,4.2,ISC,ISC,M2014,IRSC,,,Equation(3),,0.1738,,
9021,4264,1999,2,24,12,22,37,32.77,48.03,70,Zagros,5,3.9,3.1,3.2,,,3.9,3.9,ISC,ISC,M2014,IRSC,,,Equation(3),,0.1738,,
9022,4917,2001,10,25,21,34,44,32.63,47.92,19,Zagros,5,4.5,3.8,,,4.6,,4.6,ISC-EHB,ISC,ISC,,,ETHZ,,0.4,,,
9023,5036,2002,3,2,22,12,57,32.85,48.21,25,Zagros,5,4.8,4.4,,,4.9,,4.9,ISC-EHB,NEIC,M2014,,,ETHZ,,0.4,,,
9024,5431,2003,5,15,7,16,26,32.77,48.15,25,Zagros,5,,,3.7,,,4.2,4.2,IRSC,,,IRSC,,,Equation(6),,0.3383,,
9025,5495,2003,8,29,1,33,23,32.63,48.15,10,Zagros,5,4,3.9,3.2,,,4,4,ISC,ISC,ISC,IRSC,,,Equation(3),,0.1738,,
9026,6854,2006,12,23,21,51,33,32.64,48.21,2.5,Zagros,5,,,3.7,,,3.7,3.7,IRSC,,,IRSC,,,Equation(7),,0.1487,,
9027,7766,2008,1,12,5,26,45,32.7,48.05,12.8,Zagros,5,,,3.4,,,3.3,3.3,IRSC,,,IRSC,,,Equation(7),,0.1493,,
9028,7767,2008,1,12,5,30,58,32.69,48.06,12.2,Zagros,5,,,3.8,,,3.8,3.8,IRSC,,,IRSC,,,Equation(7),,0.1486,,
9029,8124,2008,6,27,17,33,53,32.61,48.12,7,Zagros,5,,,3.5,,,3.4,3.4,IRSC,,,IRSC,,,Equation(7),,0.1491,,
9030,8400,2008,10,23,21,6,1,32.65,48.12,10,Zagros,5,,,3,,,2.9,2.9,IRSC,,,IRSC,,,Equation(7),,0.1503,,
